image_path, caption_gt, caption, model, user_id, rating, comment, opinion_0, opinion_1, opinion_2, opinion_3, opinion_4, opinion_5, opinion_6, opinion_7, opinion_8, opinion_9, opinion_10, opinion_11
/media/images/caption_site/3385593926_d3e9c21170.png, The dogs are in the snow in front of a fence, two brown dogs are wrestling in the snow, Model X, 51q8r4lpw8lk7h0ogxnn9f4n4g0v5isd, 59, "", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/media/images/caption_site/3385593926_d3e9c21170.png, The dogs are in the snow in front of a fence, two brown dogs are wrestling in the snow, Model X, f4t4hyc8onooht5rsmax9dbgah5jflem, -48, "", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
/media/images/caption_site/3385593926_d3e9c21170.png, The dogs are in the snow in front of a fence, two brown dogs are wrestling in the snow, Model X, p50lc9xrk4bkpuv2xgata0894qee2ho3, 100, "two brown dogs are wrestling in the snow", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
/media/images/caption_site/3385593926_d3e9c21170.png, The dogs are in the snow in front of a fence, two dogs on the snow, Model Z, q4c2d5aphar0b20pygnou7f33xbu415q, 0, "", 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0
/media/images/caption_site/3385593926_d3e9c21170.png, The dogs are in the snow in front of a fence, two brown and white horses running in the snow', Transformer_NSC, 51q8r4lpw8lk7h0ogxnn9f4n4g0v5isd, -51, "", 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
/media/images/caption_site/2677656448_6b7e7702af.png, The small brown and white dog is in the pool, a man in a white shirt is standing next to a jet of water, Model X, 8cbazv4wu5zrrzzzys2emfi59x12ngoj, -73, "", 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0
/media/images/caption_site/2677656448_6b7e7702af.png, The small brown and white dog is in the pool, Small in the, Model Z, 51q8r4lpw8lk7h0ogxnn9f4n4g0v5isd, -100, "", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/media/images/caption_site/2677656448_6b7e7702af.png, The small brown and white dog is in the pool, Small in the, Model Z, 8cbazv4wu5zrrzzzys2emfi59x12ngoj, -99, "Another bad caption", 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0
/media/images/caption_site/311146855_0b65fdb169.png, A man and a woman in festive costumes dancing, a young boy in a blue shirt and gold shorts stands on a busy street, Model X, 8cbazv4wu5zrrzzzys2emfi59x12ngoj, -18, "", 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0
/media/images/caption_site/311146855_0b65fdb169.png, A man and a woman in festive costumes dancing, a shirtless man is sitting on a chair', Transformer_NSC, 51q8r4lpw8lk7h0ogxnn9f4n4g0v5isd, -51, "", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/media/images/caption_site/311146855_0b65fdb169.png, A man and a woman in festive costumes dancing, a shirtless man is sitting on a chair', Transformer_NSC, f4t4hyc8onooht5rsmax9dbgah5jflem, -98, "", 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
/media/images/caption_site/311146855_0b65fdb169.png, A man and a woman in festive costumes dancing, I think it's a person in a garment., Microsoft Caption Bot, 8cbazv4wu5zrrzzzys2emfi59x12ngoj, -48, "", 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0
/media/images/caption_site/1258913059_07c613f7ff.png, Three people sit at a picnic table outside of a building painted like a union jack, a group of people sitting around a table', Transformer_NSC, bnom8w5qz5xpjc7ksaholqpoup3iteja, 62, "", 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0
/media/images/caption_site/241347760_d44c8d3a01.png, A man is wearing a Sooners red football shirt and helmet, two football players preparing to catch the ball, Model X, p50lc9xrk4bkpuv2xgata0894qee2ho3, 0, "two football players preparing to catch the ball", 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0
/media/images/caption_site/241347760_d44c8d3a01.png, A man is wearing a Sooners red football shirt and helmet, sooners football, Model Z, 51q8r4lpw8lk7h0ogxnn9f4n4g0v5isd, 0, "", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/media/images/caption_site/241347760_d44c8d3a01.png, A man is wearing a Sooners red football shirt and helmet, two baseball players standing next to each other', Transformer_NSC, kujjrsq9kwpqjva4h0eoebyftfbroq7f, 0, "", 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0
/media/images/caption_site/241347760_d44c8d3a01.png, A man is wearing a Sooners red football shirt and helmet, two baseball players standing next to each other', Transformer_NSC, q4c2d5aphar0b20pygnou7f33xbu415q, -100, "", 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
/media/images/caption_site/2654514044_a70a6e2c21.png, A brown dog running, a brown dog is running through the grass, Model X, 8cbazv4wu5zrrzzzys2emfi59x12ngoj, 74, "Good enough. Could have been better if the caption could incorporate more information like there is a vase behind the dog and breed of the dog ... etc", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
/media/images/caption_site/2339106348_2df90aa6a9.png, Two girls are looking past each other in different directions while standing in a crowd, a woman in a pink shirt is smiling at the camera, Model X, kujjrsq9kwpqjva4h0eoebyftfbroq7f, -100, "There is no pink color shirt.", 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0
/media/images/caption_site/2339106348_2df90aa6a9.png, Two girls are looking past each other in different directions while standing in a crowd, a group of young women standing next to each other', Transformer_NSC, f4t4hyc8onooht5rsmax9dbgah5jflem, 58, "", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
/media/images/caption_site/2339106348_2df90aa6a9.png, Two girls are looking past each other in different directions while standing in a crowd, a group of young women standing next to each other', Transformer_NSC, p50lc9xrk4bkpuv2xgata0894qee2ho3, 100, "a group of young women standing next to each other'", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
/media/images/caption_site/256085101_2c2617c5d0.png, A dog with its mouth opened, a brown and white dog is licking its lips whilst standing in the snow, Model X, p50lc9xrk4bkpuv2xgata0894qee2ho3, 52, "a brown and white dog is licking its lips whilst standing in the snow", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
/media/images/caption_site/280706862_14c30d734a.png, A black dog emerges from the water onto the sand , holding a white object in its mouth, a black dog is running through the water, Model X, q4c2d5aphar0b20pygnou7f33xbu415q, -50, "", 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
/media/images/caption_site/280706862_14c30d734a.png, A black dog emerges from the water onto the sand , holding a white object in its mouth, Black dog has ball on its water from the water, Model Z, kujjrsq9kwpqjva4h0eoebyftfbroq7f, 0, "", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
/media/images/caption_site/280706862_14c30d734a.png, A black dog emerges from the water onto the sand , holding a white object in its mouth, Black dog has ball on its water from the water, Model Z, p50lc9xrk4bkpuv2xgata0894qee2ho3, 100, "Black dog has ball on its water from the water", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
/media/images/caption_site/280706862_14c30d734a.png, A black dog emerges from the water onto the sand , holding a white object in its mouth, a dog running with a frisbee in its mouth', Transformer_NSC, 8cbazv4wu5zrrzzzys2emfi59x12ngoj, -28, "Running??!!", 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0
/media/images/caption_site/280706862_14c30d734a.png, A black dog emerges from the water onto the sand , holding a white object in its mouth, a dog running with a frisbee in its mouth', Transformer_NSC, p50lc9xrk4bkpuv2xgata0894qee2ho3, 52, "a dog running with a frisbee in its mouth'", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
/media/images/caption_site/3072172967_630e9c69d0.png, A player from the white and green highschool team dribbles down court defended by a player from the other team, Group of team, Model Z, 51q8r4lpw8lk7h0ogxnn9f4n4g0v5isd, 0, "", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
/media/images/caption_site/3072172967_630e9c69d0.png, A player from the white and green highschool team dribbles down court defended by a player from the other team, Group of team, Model Z, 8cbazv4wu5zrrzzzys2emfi59x12ngoj, -100, "", 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0
